Season,1st,2nd,2H,3rd,4th,Close,Date,Final,ML,Open,Rot,Team,VH
2008,26,23,95,28,20,189.5,1030,97,900,184,501,Portland,V
2008,29,30,5,22,25,13,1030,106,-1400,12.5,502,SanAntonio,H
2008,28,34,105.5,24,31,212,1030,117,100,214.5,503,Utah,V
2008,30,21,3,21,24,1,1030,96,-120,3,504,GoldenState,H
2008,16,27,3,27,25,5,1030,95,-230,2.5,505,Houston,V
2008,25,18,99,19,31,199,1030,93,190,191,506,LALakers,H
2008,22,28,96.5,17,30,191,1031,97,255,190,701,Philadelphia,V
2008,24,34,2,23,25,6.5,1031,106,-305,6.5,702,Toronto,H
2008,23,22,1,25,33,1.5,1031,110,-125,200,703,Washington,V
2008,28,20,105,22,33,203.5,1031,119,105,1.5,704,Indiana,H
2008,24,22,97,16,21,197,1031,83,245,198.5,705,Milwaukee,V
2008,24,24,3.5,35,19,6.5,1031,102,-295,8,706,Orlando,H
2008,21,20,3,32,23,186,1031,103,105,188,707,Chicago,V
2008,25,31,94,18,22,1.5,1031,112,-125,2,708,NewJersey,H
2008,29,25,91.5,24,14,2.5,1031,92,-140,3,709,Dallas,V
2008,15,19,4,25,15,184,1031,74,120,186,710,Cleveland,H
2008,23,29,4,27,25,6.5,1031,104,-250,7,711,SanAntonio,V
2008,26,26,99.5,30,19,201,1031,101,210,198,712,Memphis,H
2008,24,18,94,19,29,190.5,1031,90,425,193,713,Sacramento,V
2008,29,28,1.5,30,17,9.5,1031,104,-525,10,714,NewOrleans,H
2008,31,27,107.5,23,22,217.5,1031,103,625,213,715,Seattle,V
2008,35,24,6.5,27,34,11.5,1031,120,-825,10.5,716,Denver,H
2008,26,22,pk,18,25,4,1101,91,-190,4,501,Detroit,V
2008,22,20,89.5,20,18,178.5,1101,80,160,181,502,Miami,H
2008,24,33,98.5,21,28,193,1101,106,140,191,503,Houston,V
2008,29,20,3.5,17,29,3,1101,95,-160,3.5,504,Utah,H
2008,27,28,9,24,27,12,1101,106,-725,9,505,Phoenix,V
2008,26,32,112.5,24,17,224.5,1101,99,575,223,506,Seattle,H
2008,18,31,96.5,20,30,196.5,1102,99,150,200,701,Milwaukee,V
2008,24,22,4,25,31,4,1102,102,-170,2.5,702,Charlotte,H
2008,28,36,93.5,27,25,183.5,1102,116,150,184,703,Detroit,V
2008,30,25,4.5,23,14,4,1102,92,-170,2.5,704,Orlando,H
2008,22,25,96.5,18,20,192,1102,85,235,186.5,705,Miami,V
2008,24,24,4,20,19,6.5,1102,87,-275,6.5,706,Indiana,H
2008,21,35,96,24,26,193.5,1102,106,155,192.5,707,Toronto,V
2008,21,20,6,12,16,4,1102,69,-175,5,708,NewJersey,H
2008,19,20,5,30,25,5.5,1102,94,-250,6,709,Dallas,V
2008,29,17,94.5,22,33,191,1102,101,210,192,710,Atlanta,H
2008,34,20,94,26,26,186,1102,106,210,186.5,711,NewYork,V
2008,32,23,4,20,35,6,1102,110,-250,7.5,712,Cleveland,H
2008,18,18,2.5,21,26,205.5,1102,83,285,208,713,Washington,V
2008,21,37,105,21,24,7.5,1102,103,-335,6,714,Boston,H
2008,21,28,102.5,15,29,203,1102,93,275,192,715,Portland,V
2008,31,26,2,30,26,7.5,1102,113,-325,8,716,NewOrleans,H
2008,21,28,6.5,25,25,7.5,1102,99,-375,8.5,717,Denver,V
2008,27,25,104,25,14,208.5,1102,91,315,209,718,Minnesota,H
2008,28,14,94,29,25,190,1102,96,400,189,719,Philadelphia,V
2008,20,21,7,20,24,9.5,1102,85,-500,9.5,720,Chicago,H
2008,10,13,92.5,31,26,191,1102,80,1200,190.5,721,Sacramento,V
2008,17,33,2,21,25,14.5,1102,96,-2000,14.5,722,SanAntonio,H
2008,33,30,107.5,32,24,215.5,1102,119,365,217,723,LALakers,V
2008,20,30,9,17,31,8,1102,98,-435,10,724,Phoenix,H
2008,27,34,104.5,29,24,211,1102,114,105,209,725,GoldenState,V
2008,35,26,1.5,31,28,1.5,1102,120,-125,2,726,LAClippers,H
