Season,TeamName,BoxscoreIndex,rollingGames
2011,Denver Nuggets,201010270DEN,1.0
2011,Denver Nuggets,201010290NOH,2.0
2011,Denver Nuggets,201010300HOU,3.0
2011,Denver Nuggets,201011030DEN,2.0
2011,Denver Nuggets,201011050DEN,2.0
2011,Denver Nuggets,201011060DAL,3.0
2011,Denver Nuggets,201011080CHI,3.0
2011,Denver Nuggets,201011090IND,4.0
2011,Denver Nuggets,201011110DEN,3.0
2011,Denver Nuggets,201011150PHO,2.0
2011,Denver Nuggets,201011160DEN,2.0
2011,Denver Nuggets,201011180POR,3.0
2011,Denver Nuggets,201011200DEN,3.0
2011,Denver Nuggets,201011220GSW,3.0
2011,Denver Nuggets,201011260DEN,2.0
2011,Denver Nuggets,201011280DEN,2.0
2011,Denver Nuggets,201012010DEN,2.0
2011,Denver Nuggets,201012030DEN,2.0
2011,Denver Nuggets,201012050DEN,3.0
2011,Denver Nuggets,201012070CHA,3.0
2011,Denver Nuggets,201012080BOS,3.0
2011,Denver Nuggets,201012100TOR,3.0
2011,Denver Nuggets,201012120NYK,3.0
2011,Denver Nuggets,201012140DEN,3.0
2011,Denver Nuggets,201012160DEN,3.0
2011,Denver Nuggets,201012180DEN,3.0
2011,Denver Nuggets,201012220SAS,2.0
2011,Denver Nuggets,201012250OKC,2.0
2011,Denver Nuggets,201012260DEN,3.0
2011,Denver Nuggets,201012280DEN,3.0
2011,Denver Nuggets,201012290MIN,4.0
2011,Denver Nuggets,201101010DEN,3.0
2011,Denver Nuggets,201101030DEN,2.0
2011,Denver Nuggets,201101050LAC,3.0
2011,Denver Nuggets,201101060SAC,3.0
2011,Denver Nuggets,201101090DEN,3.0
2011,Denver Nuggets,201101110DEN,2.0
2011,Denver Nuggets,201101130DEN,3.0
2011,Denver Nuggets,201101150DEN,3.0
2011,Denver Nuggets,201101160SAS,3.0
2011,Denver Nuggets,201101190DEN,3.0
2011,Denver Nuggets,201101210DEN,2.0
2011,Denver Nuggets,201101230DEN,3.0
2011,Denver Nuggets,201101250WAS,3.0
2011,Denver Nuggets,201101260DET,3.0
2011,Denver Nuggets,201101280CLE,3.0
2011,Denver Nuggets,201101300PHI,3.0
2011,Denver Nuggets,201101310NJN,3.0
2011,Denver Nuggets,201102020DEN,3.0
2011,Denver Nuggets,201102040DEN,3.0
2011,Denver Nuggets,201102050MIN,3.0
2011,Denver Nuggets,201102070DEN,3.0
2011,Denver Nuggets,201102090GSW,3.0
2011,Denver Nuggets,201102100DEN,3.0
2011,Denver Nuggets,201102130MEM,3.0
2011,Denver Nuggets,201102140HOU,3.0
2011,Denver Nuggets,201102160MIL,3.0
2011,Denver Nuggets,201102220DEN,1.0
2011,Denver Nuggets,201102240DEN,2.0
2011,Denver Nuggets,201102250POR,3.0
2011,Denver Nuggets,201102280DEN,3.0
2011,Denver Nuggets,201103020DEN,2.0
2011,Denver Nuggets,201103030UTA,3.0
2011,Denver Nuggets,201103050LAC,3.0
2011,Denver Nuggets,201103100PHO,1.0
2011,Denver Nuggets,201103120DEN,2.0
2011,Denver Nuggets,201103140NOH,3.0
2011,Denver Nuggets,201103160ATL,3.0
2011,Denver Nuggets,201103180ORL,3.0
2011,Denver Nuggets,201103190MIA,3.0
2011,Denver Nuggets,201103210DEN,3.0
2011,Denver Nuggets,201103230DEN,3.0
2011,Denver Nuggets,201103250DEN,3.0
2011,Denver Nuggets,201103300DEN,1.0
2011,Denver Nuggets,201104010SAC,2.0
2011,Denver Nuggets,201104030LAL,3.0
2011,Denver Nuggets,201104050DEN,3.0
2011,Denver Nuggets,201104060DAL,3.0
2011,Denver Nuggets,201104080OKC,3.0
2011,Denver Nuggets,201104090DEN,4.0
2011,Denver Nuggets,201104110DEN,3.0
2011,Denver Nuggets,201104130UTA,3.0
2011,Denver Nuggets,201104170OKC,2.0
2011,Denver Nuggets,201104200OKC,2.0
2011,Denver Nuggets,201104230DEN,2.0
2011,Denver Nuggets,201104250DEN,2.0
2011,Denver Nuggets,201104270OKC,3.0
2011,New York Knicks,201010270TOR,1.0
2011,New York Knicks,201010290BOS,2.0
2011,New York Knicks,201010300NYK,3.0
2011,New York Knicks,201011040CHI,1.0
2011,New York Knicks,201011050NYK,2.0
2011,New York Knicks,201011070NYK,3.0
2011,New York Knicks,201011090MIL,3.0
2011,New York Knicks,201011100NYK,3.0
2011,New York Knicks,201011120MIN,3.0
2011,New York Knicks,201011140NYK,3.0
2011,New York Knicks,201011160DEN,3.0
2011,New York Knicks,201011170SAC,3.0
2011,New York Knicks,201011190GSW,3.0
2011,New York Knicks,201011200LAC,4.0
2011,New York Knicks,201011230NYK,3.0
2011,New York Knicks,201011240CHA,3.0
2011,New York Knicks,201011270NYK,3.0
2011,New York Knicks,201011280DET,3.0
2011,New York Knicks,201011300NYK,3.0
2011,New York Knicks,201012030NOH,2.0
2011,New York Knicks,201012050TOR,2.0
2011,New York Knicks,201012060NYK,3.0
2011,New York Knicks,201012080NYK,3.0
2011,New York Knicks,201012100WAS,3.0
2011,New York Knicks,201012120NYK,3.0
2011,New York Knicks,201012150NYK,2.0
2011,New York Knicks,201012170NYK,2.0
2011,New York Knicks,201012180CLE,3.0
2011,New York Knicks,201012220NYK,2.0
2011,New York Knicks,201012250NYK,2.0
2011,New York Knicks,201012280MIA,2.0
2011,New York Knicks,201012300ORL,2.0
2011,New York Knicks,201101020NYK,2.0
2011,New York Knicks,201101040NYK,2.0
2011,New York Knicks,201101070PHO,2.0
2011,New York Knicks,201101090LAL,2.0
2011,New York Knicks,201101110POR,3.0
2011,New York Knicks,201101120UTA,3.0
2011,New York Knicks,201101140NYK,3.0
2011,New York Knicks,201101170NYK,2.0
2011,New York Knicks,201101190HOU,2.0
2011,New York Knicks,201101210SAS,3.0
2011,New York Knicks,201101220OKC,3.0
2011,New York Knicks,201101240NYK,3.0
2011,New York Knicks,201101270NYK,2.0
2011,New York Knicks,201101280ATL,3.0
2011,New York Knicks,201101300NYK,3.0
2011,New York Knicks,201102020NYK,2.0
2011,New York Knicks,201102040PHI,2.0
2011,New York Knicks,201102060NYK,3.0
2011,New York Knicks,201102090NYK,2.0
2011,New York Knicks,201102110NYK,2.0
2011,New York Knicks,201102120NJN,3.0
2011,New York Knicks,201102160NYK,2.0
2011,New York Knicks,201102230NYK,1.0
2011,New York Knicks,201102250CLE,2.0
2011,New York Knicks,201102270MIA,3.0
2011,New York Knicks,201103010ORL,3.0
2011,New York Knicks,201103020NYK,3.0
2011,New York Knicks,201103040NYK,3.0
2011,New York Knicks,201103060ATL,3.0
2011,New York Knicks,201103070NYK,3.0
2011,New York Knicks,201103090MEM,3.0
2011,New York Knicks,201103100DAL,4.0
2011,New York Knicks,201103130NYK,3.0
2011,New York Knicks,201103150IND,2.0
2011,New York Knicks,201103170NYK,3.0
2011,New York Knicks,201103180DET,3.0
2011,New York Knicks,201103200MIL,3.0
2011,New York Knicks,201103210NYK,4.0
2011,New York Knicks,201103230NYK,3.0
2011,New York Knicks,201103250NYK,3.0
2011,New York Knicks,201103260CHA,3.0
2011,New York Knicks,201103280NYK,3.0
2011,New York Knicks,201103300NYK,3.0
2011,New York Knicks,201104030NYK,2.0
2011,New York Knicks,201104050NYK,2.0
2011,New York Knicks,201104060PHI,3.0
2011,New York Knicks,201104080NJN,3.0
2011,New York Knicks,201104100IND,3.0
2011,New York Knicks,201104120NYK,3.0
2011,New York Knicks,201104130BOS,3.0
2011,New York Knicks,201104170BOS,2.0
2011,New York Knicks,201104190BOS,2.0
2011,New York Knicks,201104220NYK,2.0
2011,New York Knicks,201104240NYK,2.0
2011,Houston Rockets,201010260LAL,1.0
2011,Houston Rockets,201010270GSW,2.0
2011,Houston Rockets,201010300HOU,3.0
2011,Houston Rockets,201011030HOU,2.0
2011,Houston Rockets,201011060SAS,2.0
2011,Houston Rockets,201011070HOU,3.0
2011,Houston Rockets,201011100WAS,3.0
2011,Houston Rockets,201011120IND,2.0
2011,Houston Rockets,201011140NYK,3.0
2011,Houston Rockets,201011160HOU,3.0
2011,Houston Rockets,201011170OKC,3.0
2011,Houston Rockets,201011190TOR,3.0
2011,Houston Rockets,201011220HOU,2.0
2011,Houston Rockets,201011240HOU,2.0
2011,Houston Rockets,201011260CHA,3.0
2011,Houston Rockets,201011280HOU,3.0
2011,Houston Rockets,201011290DAL,3.0
2011,Houston Rockets,201012010HOU,3.0
2011,Houston Rockets,201012030MEM,3.0
2011,Houston Rockets,201012040CHI,3.0
2011,Houston Rockets,201012070HOU,3.0
2011,Houston Rockets,201012100MIL,2.0
2011,Houston Rockets,201012110HOU,3.0
2011,Houston Rockets,201012140HOU,3.0
2011,Houston Rockets,201012150OKC,3.0
2011,Houston Rockets,201012170HOU,3.0
2011,Houston Rockets,201012190SAC,3.0
2011,Houston Rockets,201012200GSW,3.0
2011,Houston Rockets,201012220LAC,3.0
2011,Houston Rockets,201012270HOU,1.0
2011,Houston Rockets,201012290HOU,2.0
2011,Houston Rockets,201012310HOU,3.0
2011,Houston Rockets,201101020POR,3.0
2011,Houston Rockets,201101030DEN,3.0
2011,Houston Rockets,201101050HOU,3.0
2011,Houston Rockets,201101070ORL,3.0
2011,Houston Rockets,201101080HOU,3.0
2011,Houston Rockets,201101100BOS,3.0
2011,Houston Rockets,201101120HOU,3.0
2011,Houston Rockets,201101140HOU,3.0
2011,Houston Rockets,201101150ATL,3.0
2011,Houston Rockets,201101170HOU,3.0
2011,Houston Rockets,201101190HOU,3.0
2011,Houston Rockets,201101210MEM,3.0
2011,Houston Rockets,201101220HOU,3.0
2011,Houston Rockets,201101240MIN,3.0
2011,Houston Rockets,201101260HOU,3.0
2011,Houston Rockets,201101270DAL,3.0
2011,Houston Rockets,201101290SAS,3.0
2011,Houston Rockets,201102010LAL,2.0
2011,Houston Rockets,201102020UTA,3.0
2011,Houston Rockets,201102050HOU,3.0
2011,Houston Rockets,201102070DEN,2.0
2011,Houston Rockets,201102080HOU,3.0
2011,Houston Rockets,201102120HOU,2.0
2011,Houston Rockets,201102140HOU,2.0
2011,Houston Rockets,201102160HOU,3.0
2011,Houston Rockets,201102220DET,1.0
2011,Houston Rockets,201102230CLE,2.0
2011,Houston Rockets,201102260HOU,3.0
2011,Houston Rockets,201102270NOH,3.0
2011,Houston Rockets,201103010POR,3.0
2011,Houston Rockets,201103020LAC,4.0
2011,Houston Rockets,201103050HOU,3.0
2011,Houston Rockets,201103070SAC,2.0
2011,Houston Rockets,201103080PHO,3.0
2011,Houston Rockets,201103120HOU,2.0
