Season,TeamName,BoxscoreIndex
2020,Milwaukee Bucks,201910240HOU
2020,Milwaukee Bucks,201910260MIL
2020,Milwaukee Bucks,201910280MIL
2020,Milwaukee Bucks,201910300BOS
2020,Milwaukee Bucks,201911010ORL
2020,Milwaukee Bucks,201911020MIL
2020,Milwaukee Bucks,201911040MIN
2020,Milwaukee Bucks,201911060LAC
2020,Milwaukee Bucks,201911080UTA
2020,Milwaukee Bucks,201911100OKC
2020,Milwaukee Bucks,201911140MIL
2020,Milwaukee Bucks,201911160IND
2020,Milwaukee Bucks,201911180CHI
2020,Milwaukee Bucks,201911200ATL
2020,Milwaukee Bucks,201911210MIL
2020,Milwaukee Bucks,201911230MIL
2020,Milwaukee Bucks,201911250MIL
2020,Milwaukee Bucks,201911270MIL
2020,Milwaukee Bucks,201911290CLE
2020,Milwaukee Bucks,201911300MIL
2020,Milwaukee Bucks,201912020MIL
2020,Milwaukee Bucks,201912040DET
2020,Milwaukee Bucks,201912060MIL
2020,Milwaukee Bucks,201912090MIL
2020,Milwaukee Bucks,201912110MIL
2020,Milwaukee Bucks,201912130MEM
2020,Milwaukee Bucks,201912140MIL
2020,Milwaukee Bucks,201912160MIL
2020,Milwaukee Bucks,201912190MIL
2020,Milwaukee Bucks,201912210NYK
2020,Milwaukee Bucks,201912220MIL
2020,Milwaukee Bucks,201912250PHI
2020,Milwaukee Bucks,201912270ATL
2020,Milwaukee Bucks,201912280MIL
2020,Milwaukee Bucks,201912300CHI
2020,Milwaukee Bucks,202001010MIL
2020,Milwaukee Bucks,202001040MIL
2020,Milwaukee Bucks,202001060SAS
2020,Milwaukee Bucks,202001080GSW
2020,Milwaukee Bucks,202001100SAC
2020,Milwaukee Bucks,202001110POR
2020,Milwaukee Bucks,202001140MIL
2020,Milwaukee Bucks,202001160MIL
2020,Milwaukee Bucks,202001180BRK
2020,Milwaukee Bucks,202001200MIL
2020,Milwaukee Bucks,202001240CHO
2020,Milwaukee Bucks,202001280MIL
2020,Milwaukee Bucks,202001310MIL
2020,Milwaukee Bucks,202002020MIL
2020,Milwaukee Bucks,202002040NOP
2020,Milwaukee Bucks,202002060MIL
2020,Milwaukee Bucks,202002080ORL
2020,Milwaukee Bucks,202002100MIL
2020,Milwaukee Bucks,202002120IND
2020,Milwaukee Bucks,202002200DET
2020,Milwaukee Bucks,202002220MIL
2020,Milwaukee Bucks,202002240WAS
2020,Milwaukee Bucks,202002250TOR
2020,Milwaukee Bucks,202002280MIL
2020,Milwaukee Bucks,202003010CHO
2020,Milwaukee Bucks,202003020MIA
2020,Milwaukee Bucks,202003040MIL
2020,Milwaukee Bucks,202003060LAL
2020,Milwaukee Bucks,202003080PHO
2020,Milwaukee Bucks,202003090DEN
2020,Milwaukee Bucks,202003120MIL
2020,Milwaukee Bucks,202003140MIL
2020,Milwaukee Bucks,202003160MIL
2020,Milwaukee Bucks,202003190MIL
2020,Milwaukee Bucks,202003210WAS
2020,Milwaukee Bucks,202003230MIL
2020,Milwaukee Bucks,202003250MIL
2020,Milwaukee Bucks,202003270MIL
2020,Milwaukee Bucks,202003290DAL
2020,Milwaukee Bucks,202004010MIL
2020,Milwaukee Bucks,202004030TOR
2020,Milwaukee Bucks,202004050BOS
2020,Milwaukee Bucks,202004070PHI
2020,Milwaukee Bucks,202004090MIL
2020,Milwaukee Bucks,202004110CLE
2020,Milwaukee Bucks,202004120MIL
2020,Milwaukee Bucks,202004150BRK
2020,Houston Rockets,201910240HOU
2020,Houston Rockets,201910260HOU
2020,Houston Rockets,201910280HOU
2020,Houston Rockets,201910300WAS
2020,Houston Rockets,201911010BRK
2020,Houston Rockets,201911030MIA
2020,Houston Rockets,201911040MEM
2020,Houston Rockets,201911060HOU
2020,Houston Rockets,201911090CHI
2020,Houston Rockets,201911110NOP
2020,Houston Rockets,201911130HOU
2020,Houston Rockets,201911150HOU
2020,Houston Rockets,201911160MIN
2020,Houston Rockets,201911180HOU
2020,Houston Rockets,201911200DEN
2020,Houston Rockets,201911220LAC
2020,Houston Rockets,201911240HOU
2020,Houston Rockets,201911270HOU
2020,Houston Rockets,201911300HOU
2020,Houston Rockets,201912030SAS
2020,Houston Rockets,201912050TOR
2020,Houston Rockets,201912070HOU
2020,Houston Rockets,201912090HOU
2020,Houston Rockets,201912110CLE
2020,Houston Rockets,201912130ORL
2020,Houston Rockets,201912140HOU
2020,Houston Rockets,201912160HOU
2020,Houston Rockets,201912190LAC
2020,Houston Rockets,201912210PHO
2020,Houston Rockets,201912230SAC
2020,Houston Rockets,201912250GSW
2020,Houston Rockets,201912280HOU
2020,Houston Rockets,201912290NOP
2020,Houston Rockets,201912310HOU
2020,Houston Rockets,202001030HOU
2020,Houston Rockets,202001080ATL
2020,Houston Rockets,202001090OKC
2020,Houston Rockets,202001110HOU
2020,Houston Rockets,202001140MEM
2020,Houston Rockets,202001150HOU
2020,Houston Rockets,202001180HOU
2020,Houston Rockets,202001200HOU
