,Season,1stA,2ndA,2HA,3rdA,4thA,CloseA,DateA,FinalA,MLA,OpenA,TeamA,VHA,1stB,2ndB,2HB,3rdB,4thB,CloseB,FinalB,MLB,OpenB,TeamB,ActualTotal,OpeningTotal,ClosingTotal,ProjDiffOpen,ProjDiffClose,ActualDiff,Date
0,2008,26.0,23,95,28,20,189.5,1030,97,900,184,Portland,V,29,30,5,22,25,13,106,-1400,12.5,SanAntonio,203,184.0,189.5,,,-9,10-30-2007
1,2008,28.0,34,105.5,24,31,212,1030,117,100,214.5,Utah,V,30,21,3,21,24,1,96,-120,3,GoldenState,213,3.0,212.0,,,21,10-30-2007
2,2008,16.0,27,3,27,25,5,1030,95,-230,2.5,Houston,V,25,18,99,19,31,199,93,190,191,LALakers,188,2.5,5.0,,,2,10-30-2007
3,2008,22.0,28,96.5,17,30,191,1031,97,255,190,Philadelphia,V,24,34,2,23,25,6.5,106,-305,6.5,Toronto,203,6.5,6.5,,,-9,10-31-2007
4,2008,23.0,22,1,25,33,1.5,1031,110,-125,200,Washington,V,28,20,105,22,33,203.5,119,105,1.5,Indiana,229,200.0,203.5,,,-9,10-31-2007
5,2008,24.0,22,97,16,21,197,1031,83,245,198.5,Milwaukee,V,24,24,3.5,35,19,6.5,102,-295,8,Orlando,185,8.0,6.5,,,-19,10-31-2007
6,2008,21.0,20,3,32,23,186,1031,103,105,188,Chicago,V,25,31,94,18,22,1.5,112,-125,2,NewJersey,215,2.0,186.0,,,-9,10-31-2007
7,2008,29.0,25,91.5,24,14,2.5,1031,92,-140,3,Dallas,V,15,19,4,25,15,184,74,120,186,Cleveland,166,3.0,2.5,,,18,10-31-2007
8,2008,23.0,29,4,27,25,6.5,1031,104,-250,7,SanAntonio,V,26,26,99.5,30,19,201,101,210,198,Memphis,205,7.0,6.5,,,3,10-31-2007
9,2008,24.0,18,94,19,29,190.5,1031,90,425,193,Sacramento,V,29,28,1.5,30,17,9.5,104,-525,10,NewOrleans,194,193.0,9.5,,,-14,10-31-2007
10,2008,31.0,27,107.5,23,22,217.5,1031,103,625,213,Seattle,V,35,24,6.5,27,34,11.5,120,-825,10.5,Denver,223,213.0,217.5,,,-17,10-31-2007
11,2008,26.0,22,0,18,25,4,1101,91,-190,4,Detroit,V,22,20,89.5,20,18,178.5,80,160,181,Miami,171,4.0,4.0,,,11,11-01-2007
12,2008,24.0,33,98.5,21,28,193,1101,106,140,191,Houston,V,29,20,3.5,17,29,3,95,-160,3.5,Utah,201,3.5,3.0,,,11,11-01-2007
13,2008,27.0,28,9,24,27,12,1101,106,-725,9,Phoenix,V,26,32,112.5,24,17,224.5,99,575,223,Seattle,205,9.0,224.5,,,7,11-01-2007
14,2008,18.0,31,96.5,20,30,196.5,1102,99,150,200,Milwaukee,V,24,22,4,25,31,4,102,-170,2.5,Charlotte,201,200.0,4.0,,,-3,11-02-2007
15,2008,28.0,36,93.5,27,25,183.5,1102,116,150,184,Detroit,V,30,25,4.5,23,14,4,92,-170,2.5,Orlando,208,2.5,4.0,,,24,11-02-2007
16,2008,22.0,25,96.5,18,20,192,1102,85,235,186.5,Miami,V,24,24,4,20,19,6.5,87,-275,6.5,Indiana,172,6.5,6.5,,,-2,11-02-2007
17,2008,21.0,35,96,24,26,193.5,1102,106,155,192.5,Toronto,V,21,20,6,12,16,4,69,-175,5,NewJersey,175,5.0,4.0,,,37,11-02-2007
18,2008,19.0,20,5,30,25,5.5,1102,94,-250,6,Dallas,V,29,17,94.5,22,33,191,101,210,192,Atlanta,195,6.0,5.5,,,-7,11-02-2007
19,2008,34.0,20,94,26,26,186,1102,106,210,186.5,NewYork,V,32,23,4,20,35,6,110,-250,7.5,Cleveland,216,7.5,6.0,,,-4,11-02-2007
20,2008,18.0,18,2.5,21,26,205.5,1102,83,285,208,Washington,V,21,37,105,21,24,7.5,103,-335,6,Boston,186,6.0,7.5,,,-20,11-02-2007
21,2008,21.0,28,102.5,15,29,203,1102,93,275,192,Portland,V,31,26,2,30,26,7.5,113,-325,8,NewOrleans,206,8.0,7.5,,,-20,11-02-2007
22,2008,21.0,28,6.5,25,25,7.5,1102,99,-375,8.5,Denver,V,27,25,104,25,14,208.5,91,315,209,Minnesota,190,8.5,7.5,,,8,11-02-2007
23,2008,28.0,14,94,29,25,190,1102,96,400,189,Philadelphia,V,20,21,7,20,24,9.5,85,-500,9.5,Chicago,181,9.5,9.5,,,11,11-02-2007
24,2008,10.0,13,92.5,31,26,191,1102,80,1200,190.5,Sacramento,V,17,33,2,21,25,14.5,96,-2000,14.5,SanAntonio,176,190.5,191.0,,,-16,11-02-2007
25,2008,33.0,30,107.5,32,24,215.5,1102,119,365,217,LALakers,V,20,30,9,17,31,8,98,-435,10,Phoenix,217,217.0,8.0,,,21,11-02-2007
26,2008,27.0,34,104.5,29,24,211,1102,114,105,209,GoldenState,V,35,26,1.5,31,28,1.5,120,-125,2,LAClippers,234,209.0,211.0,,,-6,11-02-2007
27,2008,17.0,21,1.5,29,26,3,1103,93,-150,2.5,NewJersey,V,19,15,94.5,23,31,186.5,88,130,186.5,Philadelphia,181,2.5,3.0,,,5,11-03-2007
28,2008,19.0,31,100.5,14,30,197.5,1103,94,110,199,Orlando,V,18,24,2.5,25,15,1,82,-130,2,Washington,176,2.0,197.5,,,12,11-03-2007
29,2008,40.0,32,107,22,27,211.5,1103,121,180,211.5,Indiana,V,31,30,5.5,26,24,5.5,111,-220,4.5,Memphis,232,4.5,5.5,,,10,11-03-2007
30,2008,19.0,16,1.5,13,24,4,1103,72,-175,2.5,Chicago,V,20,12,95,24,22,193,78,155,193.5,Milwaukee,150,2.5,4.0,,,-6,11-03-2007
31,2008,12.0,19,0,15,34,203,1103,80,700,203.5,Portland,V,25,21,100.5,16,27,11.5,89,-1000,12,Houston,169,203.5,203.0,,,-9,11-03-2007
32,2008,25.0,31,0,27,19,189,1103,102,1500,189.5,Sacramento,V,37,36,93,28,22,15.5,123,-3000,14.5,Dallas,225,189.5,189.0,,,-21,11-03-2007
33,2008,28.0,18,0,35,29,215.5,1103,110,425,212.5,GoldenState,V,29,36,105.5,29,39,9.5,133,-550,8.5,Utah,243,8.5,9.5,,,-23,11-03-2007
34,2008,23.0,15,95.5,28,12,194,1104,98,105,192,Boston,V,14,17,2.5,24,23,1.5,95,-125,2,Toronto,193,2.0,194.0,,,3,11-04-2007
35,2008,21.0,31,101.5,24,25,208,1104,101,250,209.5,Seattle,V,25,27,4.5,26,37,6.5,115,-300,6,LAClippers,216,6.0,6.5,,,-14,11-04-2007
36,2008,28.0,22,96.5,23,20,193,1104,93,355,192.5,Minnesota,V,21,33,4,21,22,9,97,-425,10,NewYork,190,192.5,9.0,,,-4,11-04-2007
37,2008,27.0,28,93.5,20,15,186.5,1104,90,140,186,Charlotte,V,27,21,3.5,15,25,3.5,88,-160,3,Miami,178,3.0,3.5,,,2,11-04-2007
38,2008,19.0,29,97,21,22,191,1104,91,290,188.5,Atlanta,V,24,21,6.5,15,32,8,92,-350,8.5,Detroit,183,8.5,8.0,,,-1,11-04-2007
39,2008,14.0,34,104.5,25,20,214.5,1104,93,185,216,NewOrleans,V,21,28,3,20,19,5,88,-215,6.5,Denver,181,6.5,5.0,,,5,11-04-2007
40,2008,22.0,23,99.5,19,28,205,1104,92,290,208.5,Cleveland,V,21,17,5.5,31,34,7.5,103,-350,8,Phoenix,195,8.0,7.5,,,-11,11-04-2007
41,2008,21.0,30,106,31,27,205.5,1104,109,-105,2,Utah,V,25,21,2,35,38,1,119,-115,202,LALakers,228,202.0,205.5,,,-10,11-04-2007
42,2008,29.0,22,95.5,24,23,189.5,1105,98,170,190,Houston,V,24,26,3,27,30,4.5,107,-200,5,Dallas,205,5.0,4.5,,,-9,11-05-2007
43,2008,29.0,30,101,29,27,4,1106,115,-195,4,Phoenix,V,21,16,3.5,24,22,207,83,165,210,Charlotte,198,4.0,4.0,,,32,11-06-2007
44,2008,19.0,22,95,16,25,188.5,1106,82,160,190.5,Atlanta,V,22,23,1,24,18,4,87,-190,4.5,NewJersey,169,4.5,4.0,,,-5,11-06-2007
45,2008,37.0,29,105,26,20,3,1106,112,-160,2.5,Denver,V,32,28,0,22,37,211,119,140,213,NewYork,231,213.0,3.0,,,-7,11-06-2007
46,2008,26.0,30,2,32,23,6.5,1106,111,-300,7,Orlando,V,22,28,93.5,24,29,186.5,103,250,190,Minnesota,214,7.0,6.5,,,8,11-06-2007
47,2008,23.0,25,5,16,21,3,1106,85,-160,191,Toronto,V,37,26,95,25,24,190,112,140,0,Milwaukee,197,191.0,3.0,,,-27,11-06-2007
48,2008,19.0,13,4,24,25,2,1106,81,-135,185,SanAntonio,V,18,27,91.5,19,25,183.5,89,115,0,Houston,170,185.0,2.0,,,-8,11-06-2007
49,2008,26.0,31,97.5,18,22,193,1106,97,335,193,LAClippers,V,26,26,8,22,17,8.5,91,-405,7,Chicago,188,7.0,8.5,,,6,11-06-2007
50,2008,25.0,36,101.5,17,20,208,1106,98,110,204,Seattle,V,26,22,4.5,24,32,2,104,-130,3,Sacramento,202,3.0,208.0,,,-6,11-06-2007
51,2008,29.0,25,105,26,28,209.5,1106,108,115,1,Cleveland,V,23,31,1.5,27,23,2,104,-135,209,GoldenState,212,209.0,209.5,,,4,11-06-2007
52,2008,32.0,25,104,32,29,205.5,1106,118,135,207,NewOrleans,V,22,33,3,25,24,3,104,-155,3.5,LALakers,222,3.5,3.0,,,14,11-06-2007
53,2008,31.0,21,95.5,26,27,191.5,1107,105,170,186.5,Orlando,V,23,24,3.5,27,22,4,96,-200,3,Toronto,201,3.0,4.0,,,9,11-07-2007
54,2008,27.0,20,5,29,20,5,1107,96,-230,5.5,Phoenix,V,32,23,103.5,25,25,207,105,190,208.5,Atlanta,201,5.5,5.0,,,-9,11-07-2007
55,2008,24.0,31,102,32,17,207.5,1107,104,240,200.5,LAClippers,V,25,33,3.5,14,17,6.5,89,-290,5,Indiana,193,5.0,6.5,,,15,11-07-2007
56,2008,14.0,18,3,15,16,189,1107,63,165,190,Charlotte,V,23,26,93.5,21,24,4,94,-195,3.5,Philadelphia,157,3.5,4.0,,,-31,11-07-2007
57,2008,22.0,16,5.5,28,27,202.5,1107,93,245,203,Denver,V,38,39,99.5,26,16,6.5,119,-295,5.5,Boston,212,5.5,6.5,,,-26,11-07-2007
58,2008,21.0,17,88.5,20,20,180.5,1107,78,800,185.5,Miami,V,23,16,7.5,26,23,11.5,88,-1200,10.5,SanAntonio,166,185.5,180.5,,,-10,11-07-2007
