,Season,1stA,2ndA,3rdA,4thA,FinalA,MLA,TeamA,VHA,1stB,2ndB,2HB,3rdB,4thB,FinalB,MLB,TeamB,Date,ActualTotal,OpeningTotal,ClosingTotal,ProjDiffOpen,ProjDiffClose,ActualDiff
3933,2011,26.0,23.0,28.0,20.0,97.0,900.0,Portland,V,29.0,30.0,5.0,22.0,25.0,106.0,-1400.0,SanAntonio,10-30-2010,203.0,184.0,189.5,-12.5,-13.0,-9.0
3934,2011,28.0,34.0,24.0,31.0,117.0,100.0,Utah,V,30.0,21.0,3.0,21.0,24.0,96.0,-120.0,GoldenState,10-30-2010,213.0,214.5,212.0,-3.0,-1.0,21.0
3935,2011,16.0,27.0,27.0,25.0,95.0,-230.0,Houston,V,25.0,18.0,99.0,19.0,31.0,93.0,190.0,LALakers,10-30-2010,188.0,191.0,199.0,2.5,5.0,2.0
3936,2011,22.0,28.0,17.0,30.0,97.0,255.0,Philadelphia,V,24.0,34.0,2.0,23.0,25.0,106.0,-305.0,Toronto,10-31-2010,203.0,190.0,191.0,-6.5,-6.5,-9.0
3937,2011,23.0,22.0,25.0,33.0,110.0,-125.0,Washington,V,28.0,20.0,105.0,22.0,33.0,119.0,105.0,Indiana,10-31-2010,229.0,200.0,203.5,-1.5,1.5,-9.0
3938,2011,24.0,22.0,16.0,21.0,83.0,245.0,Milwaukee,V,24.0,24.0,3.5,35.0,19.0,102.0,-295.0,Orlando,10-31-2010,185.0,198.5,197.0,-8.0,-6.5,-19.0
3939,2011,21.0,20.0,32.0,23.0,103.0,105.0,Chicago,V,25.0,31.0,94.0,18.0,22.0,112.0,-125.0,NewJersey,10-31-2010,215.0,188.0,186.0,-2.0,-1.5,-9.0
3940,2011,29.0,25.0,24.0,14.0,92.0,-140.0,Dallas,V,15.0,19.0,4.0,25.0,15.0,74.0,120.0,Cleveland,10-31-2010,166.0,186.0,184.0,3.0,2.5,18.0
3941,2011,23.0,29.0,27.0,25.0,104.0,-250.0,SanAntonio,V,26.0,26.0,99.5,30.0,19.0,101.0,210.0,Memphis,10-31-2010,205.0,198.0,201.0,7.0,6.5,3.0
3942,2011,24.0,18.0,19.0,29.0,90.0,425.0,Sacramento,V,29.0,28.0,1.5,30.0,17.0,104.0,-525.0,NewOrleans,10-31-2010,194.0,193.0,190.5,-10.0,-9.5,-14.0
3943,2011,31.0,27.0,23.0,22.0,103.0,625.0,Seattle,V,35.0,24.0,6.5,27.0,34.0,120.0,-825.0,Denver,10-31-2010,223.0,213.0,217.5,-10.5,-11.5,-17.0
3944,2011,26.0,22.0,18.0,25.0,91.0,-190.0,Detroit,V,22.0,20.0,89.5,20.0,18.0,80.0,160.0,Miami,11-01-2010,171.0,181.0,178.5,4.0,4.0,11.0
3945,2011,24.0,33.0,21.0,28.0,106.0,140.0,Houston,V,29.0,20.0,3.5,17.0,29.0,95.0,-160.0,Utah,11-01-2010,201.0,191.0,193.0,-3.5,-3.0,11.0
3946,2011,27.0,28.0,24.0,27.0,106.0,-725.0,Phoenix,V,26.0,32.0,112.5,24.0,17.0,99.0,575.0,Seattle,11-01-2010,205.0,223.0,224.5,9.0,12.0,7.0
3947,2011,18.0,31.0,20.0,30.0,99.0,150.0,Milwaukee,V,24.0,22.0,4.0,25.0,31.0,102.0,-170.0,Charlotte,11-02-2010,201.0,200.0,196.5,-2.5,-4.0,-3.0
3948,2011,28.0,36.0,27.0,25.0,116.0,150.0,Detroit,V,30.0,25.0,4.5,23.0,14.0,92.0,-170.0,Orlando,11-02-2010,208.0,184.0,183.5,-2.5,-4.0,24.0
3949,2011,22.0,25.0,18.0,20.0,85.0,235.0,Miami,V,24.0,24.0,4.0,20.0,19.0,87.0,-275.0,Indiana,11-02-2010,172.0,186.5,192.0,-6.5,-6.5,-2.0
3950,2011,21.0,35.0,24.0,26.0,106.0,155.0,Toronto,V,21.0,20.0,6.0,12.0,16.0,69.0,-175.0,NewJersey,11-02-2010,175.0,192.5,193.5,-5.0,-4.0,37.0
3951,2011,19.0,20.0,30.0,25.0,94.0,-250.0,Dallas,V,29.0,17.0,94.5,22.0,33.0,101.0,210.0,Atlanta,11-02-2010,195.0,192.0,191.0,6.0,5.5,-7.0
3952,2011,34.0,20.0,26.0,26.0,106.0,210.0,NewYork,V,32.0,23.0,4.0,20.0,35.0,110.0,-250.0,Cleveland,11-02-2010,216.0,186.5,186.0,-7.5,-6.0,-4.0
3953,2011,18.0,18.0,21.0,26.0,83.0,285.0,Washington,V,21.0,37.0,105.0,21.0,24.0,103.0,-335.0,Boston,11-02-2010,186.0,208.0,205.5,-6.0,-7.5,-20.0
3954,2011,21.0,28.0,15.0,29.0,93.0,275.0,Portland,V,31.0,26.0,2.0,30.0,26.0,113.0,-325.0,NewOrleans,11-02-2010,206.0,192.0,203.0,-8.0,-7.5,-20.0
3955,2011,21.0,28.0,25.0,25.0,99.0,-375.0,Denver,V,27.0,25.0,104.0,25.0,14.0,91.0,315.0,Minnesota,11-02-2010,190.0,209.0,208.5,8.5,7.5,8.0
3956,2011,28.0,14.0,29.0,25.0,96.0,400.0,Philadelphia,V,20.0,21.0,7.0,20.0,24.0,85.0,-500.0,Chicago,11-02-2010,181.0,189.0,190.0,-9.5,-9.5,11.0
3957,2011,10.0,13.0,31.0,26.0,80.0,1200.0,Sacramento,V,17.0,33.0,2.0,21.0,25.0,96.0,-2000.0,SanAntonio,11-02-2010,176.0,190.5,191.0,-14.5,-14.5,-16.0
3958,2011,33.0,30.0,32.0,24.0,119.0,365.0,LALakers,V,20.0,30.0,9.0,17.0,31.0,98.0,-435.0,Phoenix,11-02-2010,217.0,217.0,215.5,-10.0,-8.0,21.0
3959,2011,27.0,34.0,29.0,24.0,114.0,105.0,GoldenState,V,35.0,26.0,1.5,31.0,28.0,120.0,-125.0,LAClippers,11-02-2010,234.0,209.0,211.0,-2.0,-1.5,-6.0
3960,2011,17.0,21.0,29.0,26.0,93.0,-150.0,NewJersey,V,19.0,15.0,94.5,23.0,31.0,88.0,130.0,Philadelphia,11-03-2010,181.0,186.5,186.5,2.5,3.0,5.0
3961,2011,19.0,31.0,14.0,30.0,94.0,110.0,Orlando,V,18.0,24.0,2.5,25.0,15.0,82.0,-130.0,Washington,11-03-2010,176.0,199.0,197.5,-2.0,-1.0,12.0
3962,2011,40.0,32.0,22.0,27.0,121.0,180.0,Indiana,V,31.0,30.0,5.5,26.0,24.0,111.0,-220.0,Memphis,11-03-2010,232.0,211.5,211.5,-4.5,-5.5,10.0
3963,2011,19.0,16.0,13.0,24.0,72.0,-175.0,Chicago,V,20.0,12.0,95.0,24.0,22.0,78.0,155.0,Milwaukee,11-03-2010,150.0,193.5,193.0,2.5,4.0,-6.0
3964,2011,12.0,19.0,15.0,34.0,80.0,700.0,Portland,V,25.0,21.0,100.5,16.0,27.0,89.0,-1000.0,Houston,11-03-2010,169.0,203.5,203.0,-12.0,-11.5,-9.0
3965,2011,25.0,31.0,27.0,19.0,102.0,1500.0,Sacramento,V,37.0,36.0,93.0,28.0,22.0,123.0,-3000.0,Dallas,11-03-2010,225.0,189.5,189.0,-14.5,-15.5,-21.0
3966,2011,28.0,18.0,35.0,29.0,110.0,425.0,GoldenState,V,29.0,36.0,105.5,29.0,39.0,133.0,-550.0,Utah,11-03-2010,243.0,212.5,215.5,-8.5,-9.5,-23.0
3967,2011,23.0,15.0,28.0,12.0,98.0,105.0,Boston,V,14.0,17.0,2.5,24.0,23.0,95.0,-125.0,Toronto,11-04-2010,193.0,192.0,194.0,-2.0,-1.5,3.0
3968,2011,21.0,31.0,24.0,25.0,101.0,250.0,Seattle,V,25.0,27.0,4.5,26.0,37.0,115.0,-300.0,LAClippers,11-04-2010,216.0,209.5,208.0,-6.0,-6.5,-14.0
3969,2011,28.0,22.0,23.0,20.0,93.0,355.0,Minnesota,V,21.0,33.0,4.0,21.0,22.0,97.0,-425.0,NewYork,11-04-2010,190.0,192.5,193.0,-10.0,-9.0,-4.0
3970,2011,27.0,28.0,20.0,15.0,90.0,140.0,Charlotte,V,27.0,21.0,3.5,15.0,25.0,88.0,-160.0,Miami,11-04-2010,178.0,186.0,186.5,-3.0,-3.5,2.0
3971,2011,19.0,29.0,21.0,22.0,91.0,290.0,Atlanta,V,24.0,21.0,6.5,15.0,32.0,92.0,-350.0,Detroit,11-04-2010,183.0,188.5,191.0,-8.5,-8.0,-1.0
3972,2011,14.0,34.0,25.0,20.0,93.0,185.0,NewOrleans,V,21.0,28.0,3.0,20.0,19.0,88.0,-215.0,Denver,11-04-2010,181.0,216.0,214.5,-6.5,-5.0,5.0
3973,2011,22.0,23.0,19.0,28.0,92.0,290.0,Cleveland,V,21.0,17.0,5.5,31.0,34.0,103.0,-350.0,Phoenix,11-04-2010,195.0,208.5,205.0,-8.0,-7.5,-11.0
3974,2011,21.0,30.0,31.0,27.0,109.0,-105.0,Utah,V,25.0,21.0,2.0,35.0,38.0,119.0,-115.0,LALakers,11-04-2010,228.0,202.0,205.5,2.0,-1.0,-10.0
3975,2011,29.0,22.0,24.0,23.0,98.0,170.0,Houston,V,24.0,26.0,3.0,27.0,30.0,107.0,-200.0,Dallas,11-05-2010,205.0,190.0,189.5,-5.0,-4.5,-9.0
3976,2011,29.0,30.0,29.0,27.0,115.0,-195.0,Phoenix,V,21.0,16.0,3.5,24.0,22.0,83.0,165.0,Charlotte,11-06-2010,198.0,210.0,207.0,4.0,4.0,32.0
3977,2011,19.0,22.0,16.0,25.0,82.0,160.0,Atlanta,V,22.0,23.0,1.0,24.0,18.0,87.0,-190.0,NewJersey,11-06-2010,169.0,190.5,188.5,-4.5,-4.0,-5.0
3978,2011,37.0,29.0,26.0,20.0,112.0,-160.0,Denver,V,32.0,28.0,0.0,22.0,37.0,119.0,140.0,NewYork,11-06-2010,231.0,213.0,211.0,2.5,3.0,-7.0
3979,2011,26.0,30.0,32.0,23.0,111.0,-300.0,Orlando,V,22.0,28.0,93.5,24.0,29.0,103.0,250.0,Minnesota,11-06-2010,214.0,190.0,186.5,7.0,6.5,8.0
3980,2011,23.0,25.0,16.0,21.0,85.0,-160.0,Toronto,V,37.0,26.0,95.0,25.0,24.0,112.0,140.0,Milwaukee,11-06-2010,197.0,191.0,190.0,-0.0,3.0,-27.0
3981,2011,19.0,13.0,24.0,25.0,81.0,-135.0,SanAntonio,V,18.0,27.0,91.5,19.0,25.0,89.0,115.0,Houston,11-06-2010,170.0,185.0,183.5,-0.0,2.0,-8.0
3982,2011,26.0,31.0,18.0,22.0,97.0,335.0,LAClippers,V,26.0,26.0,8.0,22.0,17.0,91.0,-405.0,Chicago,11-06-2010,188.0,193.0,193.0,-7.0,-8.5,6.0
3983,2011,25.0,36.0,17.0,20.0,98.0,110.0,Seattle,V,26.0,22.0,4.5,24.0,32.0,104.0,-130.0,Sacramento,11-06-2010,202.0,204.0,208.0,-3.0,-2.0,-6.0
3984,2011,29.0,25.0,26.0,28.0,108.0,115.0,Cleveland,V,23.0,31.0,1.5,27.0,23.0,104.0,-135.0,GoldenState,11-06-2010,212.0,209.0,209.5,1.0,-2.0,4.0
3985,2011,32.0,25.0,32.0,29.0,118.0,135.0,NewOrleans,V,22.0,33.0,3.0,25.0,24.0,104.0,-155.0,LALakers,11-06-2010,222.0,207.0,205.5,-3.5,-3.0,14.0
3986,2011,31.0,21.0,26.0,27.0,105.0,170.0,Orlando,V,23.0,24.0,3.5,27.0,22.0,96.0,-200.0,Toronto,11-07-2010,201.0,186.5,191.5,-3.0,-4.0,9.0
3987,2011,27.0,20.0,29.0,20.0,96.0,-230.0,Phoenix,V,32.0,23.0,103.5,25.0,25.0,105.0,190.0,Atlanta,11-07-2010,201.0,208.5,207.0,5.5,5.0,-9.0
3988,2011,24.0,31.0,32.0,17.0,104.0,240.0,LAClippers,V,25.0,33.0,3.5,14.0,17.0,89.0,-290.0,Indiana,11-07-2010,193.0,200.5,207.5,-5.0,-6.5,15.0
3989,2011,14.0,18.0,15.0,16.0,63.0,165.0,Charlotte,V,23.0,26.0,93.5,21.0,24.0,94.0,-195.0,Philadelphia,11-07-2010,157.0,190.0,189.0,-3.5,-4.0,-31.0
3990,2011,22.0,16.0,28.0,27.0,93.0,245.0,Denver,V,38.0,39.0,99.5,26.0,16.0,119.0,-295.0,Boston,11-07-2010,212.0,203.0,202.5,-5.5,-6.5,-26.0
3991,2011,21.0,17.0,20.0,20.0,78.0,800.0,Miami,V,23.0,16.0,7.5,26.0,23.0,88.0,-1200.0,SanAntonio,11-07-2010,166.0,185.5,180.5,-10.5,-11.5,-10.0
3992,2011,26.0,22.0,19.0,34.0,101.0,400.0,Cleveland,V,29.0,23.0,4.5,20.0,31.0,103.0,-500.0,Utah,11-07-2010,204.0,196.0,194.5,-8.0,-9.0,-2.0
3993,2011,27.0,22.0,38.0,18.0,105.0,-110.0,Memphis,V,24.0,33.0,107.0,24.0,17.0,98.0,-110.0,Seattle,11-07-2010,203.0,219.5,218.5,-1.5,-0.0,7.0
3994,2011,23.0,26.0,18.0,23.0,90.0,-145.0,NewOrleans,V,26.0,18.0,0.0,32.0,17.0,93.0,125.0,Portland,11-07-2010,183.0,202.0,201.5,2.5,2.5,-3.0
3995,2011,27.0,14.0,17.0,27.0,85.0,235.0,Washington,V,15.0,21.0,6.0,21.0,30.0,87.0,-275.0,NewJersey,11-08-2010,172.0,194.0,190.0,-6.0,-6.0,-2.0
3996,2011,23.0,22.0,30.0,18.0,93.0,100.0,Detroit,V,29.0,22.0,90.0,27.0,19.0,97.0,-120.0,Chicago,11-08-2010,190.0,184.0,182.0,-1.5,-1.0,-4.0
3997,2011,27.0,30.0,34.0,29.0,120.0,-325.0,Dallas,V,27.0,34.0,108.5,25.0,29.0,115.0,275.0,GoldenState,11-08-2010,235.0,213.5,216.0,7.5,7.5,5.0
3998,2011,24.0,23.0,24.0,34.0,105.0,-130.0,Toronto,V,19.0,20.0,1.5,29.0,35.0,103.0,110.0,Philadelphia,11-09-2010,208.0,188.0,187.5,-1.0,2.0,2.0
3999,2011,27.0,16.0,30.0,14.0,87.0,105.0,Indiana,V,24.0,16.0,1.5,25.0,31.0,96.0,-125.0,Charlotte,11-09-2010,183.0,194.5,195.0,-3.0,-1.5,-9.0
4000,2011,19.0,22.0,20.0,22.0,83.0,360.0,Atlanta,V,24.0,31.0,0.0,19.0,32.0,106.0,-430.0,Boston,11-09-2010,189.0,194.0,193.0,-7.0,-8.5,-23.0
4001,2011,28.0,20.0,29.0,35.0,112.0,-105.0,Orlando,V,28.0,21.0,0.0,24.0,29.0,102.0,-115.0,NewYork,11-09-2010,214.0,198.5,201.5,1.0,-1.0,10.0
