,Unnamed: 0,Season,1stA,2ndA,2HA,3rdA,4thA,CloseA,DateA,FinalA,MLA,OpenA,TeamA,VHA,1stB,2ndB,2HB,3rdB,4thB,CloseB,FinalB,MLB,OpenB,TeamB,ActualTotal,OpeningTotal,ClosingTotal,ProjDiffOpen,ProjDiffClose,ActualDiff,Date
0,0,2008,26.0,23,95.0,28,20,189.5,1030,97,900,184.0,Portland,V,29,30,5.0,22,25,13.0,106,-1400,12.5,SanAntonio,203,184.0,189.5,-12.5,-13.0,-9,10-30-2007
1,1,2008,28.0,34,105.5,24,31,212.0,1030,117,100,214.5,Utah,V,30,21,3.0,21,24,1.0,96,-120,3.0,GoldenState,213,214.5,212.0,-3.0,-1.0,21,10-30-2007
2,2,2008,16.0,27,3.0,27,25,5.0,1030,95,-230,2.5,Houston,V,25,18,99.0,19,31,199.0,93,190,191.0,LALakers,188,191.0,199.0,2.5,5.0,2,10-30-2007
3,3,2008,22.0,28,96.5,17,30,191.0,1031,97,255,190.0,Philadelphia,V,24,34,2.0,23,25,6.5,106,-305,6.5,Toronto,203,190.0,191.0,-6.5,-6.5,-9,10-31-2007
4,4,2008,23.0,22,1.0,25,33,1.5,1031,110,-125,200.0,Washington,V,28,20,105.0,22,33,203.5,119,105,1.5,Indiana,229,200.0,203.5,-1.5,1.5,-9,10-31-2007
5,5,2008,24.0,22,97.0,16,21,197.0,1031,83,245,198.5,Milwaukee,V,24,24,3.5,35,19,6.5,102,-295,8.0,Orlando,185,198.5,197.0,-8.0,-6.5,-19,10-31-2007
6,6,2008,21.0,20,3.0,32,23,186.0,1031,103,105,188.0,Chicago,V,25,31,94.0,18,22,1.5,112,-125,2.0,NewJersey,215,188.0,186.0,-2.0,-1.5,-9,10-31-2007
7,7,2008,29.0,25,91.5,24,14,2.5,1031,92,-140,3.0,Dallas,V,15,19,4.0,25,15,184.0,74,120,186.0,Cleveland,166,186.0,184.0,3.0,2.5,18,10-31-2007
8,8,2008,23.0,29,4.0,27,25,6.5,1031,104,-250,7.0,SanAntonio,V,26,26,99.5,30,19,201.0,101,210,198.0,Memphis,205,198.0,201.0,7.0,6.5,3,10-31-2007
9,9,2008,24.0,18,94.0,19,29,190.5,1031,90,425,193.0,Sacramento,V,29,28,1.5,30,17,9.5,104,-525,10.0,NewOrleans,194,193.0,190.5,-10.0,-9.5,-14,10-31-2007
10,10,2008,31.0,27,107.5,23,22,217.5,1031,103,625,213.0,Seattle,V,35,24,6.5,27,34,11.5,120,-825,10.5,Denver,223,213.0,217.5,-10.5,-11.5,-17,10-31-2007
11,11,2008,26.0,22,0.0,18,25,4.0,1101,91,-190,4.0,Detroit,V,22,20,89.5,20,18,178.5,80,160,181.0,Miami,171,181.0,178.5,4.0,4.0,11,11-01-2007
12,12,2008,24.0,33,98.5,21,28,193.0,1101,106,140,191.0,Houston,V,29,20,3.5,17,29,3.0,95,-160,3.5,Utah,201,191.0,193.0,-3.5,-3.0,11,11-01-2007
13,13,2008,27.0,28,9.0,24,27,12.0,1101,106,-725,9.0,Phoenix,V,26,32,112.5,24,17,224.5,99,575,223.0,Seattle,205,223.0,224.5,9.0,12.0,7,11-01-2007
14,14,2008,18.0,31,96.5,20,30,196.5,1102,99,150,200.0,Milwaukee,V,24,22,4.0,25,31,4.0,102,-170,2.5,Charlotte,201,200.0,196.5,-2.5,-4.0,-3,11-02-2007
15,15,2008,28.0,36,93.5,27,25,183.5,1102,116,150,184.0,Detroit,V,30,25,4.5,23,14,4.0,92,-170,2.5,Orlando,208,184.0,183.5,-2.5,-4.0,24,11-02-2007
16,16,2008,22.0,25,96.5,18,20,192.0,1102,85,235,186.5,Miami,V,24,24,4.0,20,19,6.5,87,-275,6.5,Indiana,172,186.5,192.0,-6.5,-6.5,-2,11-02-2007
17,17,2008,21.0,35,96.0,24,26,193.5,1102,106,155,192.5,Toronto,V,21,20,6.0,12,16,4.0,69,-175,5.0,NewJersey,175,192.5,193.5,-5.0,-4.0,37,11-02-2007
18,18,2008,19.0,20,5.0,30,25,5.5,1102,94,-250,6.0,Dallas,V,29,17,94.5,22,33,191.0,101,210,192.0,Atlanta,195,192.0,191.0,6.0,5.5,-7,11-02-2007
19,19,2008,34.0,20,94.0,26,26,186.0,1102,106,210,186.5,NewYork,V,32,23,4.0,20,35,6.0,110,-250,7.5,Cleveland,216,186.5,186.0,-7.5,-6.0,-4,11-02-2007
20,20,2008,18.0,18,2.5,21,26,205.5,1102,83,285,208.0,Washington,V,21,37,105.0,21,24,7.5,103,-335,6.0,Boston,186,208.0,205.5,-6.0,-7.5,-20,11-02-2007
21,21,2008,21.0,28,102.5,15,29,203.0,1102,93,275,192.0,Portland,V,31,26,2.0,30,26,7.5,113,-325,8.0,NewOrleans,206,192.0,203.0,-8.0,-7.5,-20,11-02-2007
22,22,2008,21.0,28,6.5,25,25,7.5,1102,99,-375,8.5,Denver,V,27,25,104.0,25,14,208.5,91,315,209.0,Minnesota,190,209.0,208.5,8.5,7.5,8,11-02-2007
23,23,2008,28.0,14,94.0,29,25,190.0,1102,96,400,189.0,Philadelphia,V,20,21,7.0,20,24,9.5,85,-500,9.5,Chicago,181,189.0,190.0,-9.5,-9.5,11,11-02-2007
24,24,2008,10.0,13,92.5,31,26,191.0,1102,80,1200,190.5,Sacramento,V,17,33,2.0,21,25,14.5,96,-2000,14.5,SanAntonio,176,190.5,191.0,-14.5,-14.5,-16,11-02-2007
25,25,2008,33.0,30,107.5,32,24,215.5,1102,119,365,217.0,LALakers,V,20,30,9.0,17,31,8.0,98,-435,10.0,Phoenix,217,217.0,215.5,-10.0,-8.0,21,11-02-2007
26,26,2008,27.0,34,104.5,29,24,211.0,1102,114,105,209.0,GoldenState,V,35,26,1.5,31,28,1.5,120,-125,2.0,LAClippers,234,209.0,211.0,-2.0,-1.5,-6,11-02-2007
27,27,2008,17.0,21,1.5,29,26,3.0,1103,93,-150,2.5,NewJersey,V,19,15,94.5,23,31,186.5,88,130,186.5,Philadelphia,181,186.5,186.5,2.5,3.0,5,11-03-2007
28,28,2008,19.0,31,100.5,14,30,197.5,1103,94,110,199.0,Orlando,V,18,24,2.5,25,15,1.0,82,-130,2.0,Washington,176,199.0,197.5,-2.0,-1.0,12,11-03-2007
29,29,2008,40.0,32,107.0,22,27,211.5,1103,121,180,211.5,Indiana,V,31,30,5.5,26,24,5.5,111,-220,4.5,Memphis,232,211.5,211.5,-4.5,-5.5,10,11-03-2007
30,30,2008,19.0,16,1.5,13,24,4.0,1103,72,-175,2.5,Chicago,V,20,12,95.0,24,22,193.0,78,155,193.5,Milwaukee,150,193.5,193.0,2.5,4.0,-6,11-03-2007
31,31,2008,12.0,19,0.0,15,34,203.0,1103,80,700,203.5,Portland,V,25,21,100.5,16,27,11.5,89,-1000,12.0,Houston,169,203.5,203.0,-12.0,-11.5,-9,11-03-2007
32,32,2008,25.0,31,0.0,27,19,189.0,1103,102,1500,189.5,Sacramento,V,37,36,93.0,28,22,15.5,123,-3000,14.5,Dallas,225,189.5,189.0,-14.5,-15.5,-21,11-03-2007
33,33,2008,28.0,18,0.0,35,29,215.5,1103,110,425,212.5,GoldenState,V,29,36,105.5,29,39,9.5,133,-550,8.5,Utah,243,212.5,215.5,-8.5,-9.5,-23,11-03-2007
34,34,2008,23.0,15,95.5,28,12,194.0,1104,98,105,192.0,Boston,V,14,17,2.5,24,23,1.5,95,-125,2.0,Toronto,193,192.0,194.0,-2.0,-1.5,3,11-04-2007
35,35,2008,21.0,31,101.5,24,25,208.0,1104,101,250,209.5,Seattle,V,25,27,4.5,26,37,6.5,115,-300,6.0,LAClippers,216,209.5,208.0,-6.0,-6.5,-14,11-04-2007
